genbank_accession	gisaid_epi_isl
MW244018.1	EPI_ISL_633098
MW244019.1	EPI_ISL_633099
MW245978.1	EPI_ISL_631651
MW245979.1	EPI_ISL_631659
MW245980.1	EPI_ISL_631663
MW245981.1	EPI_ISL_631657
MW245982.1	EPI_ISL_631644
MW245984.1	EPI_ISL_631662
MW245986.1	EPI_ISL_631643
MW245989.1	EPI_ISL_631670
MW245990.1	EPI_ISL_631642
MW245992.1	EPI_ISL_631654
MW245994.1	EPI_ISL_631672
MW245995.1	EPI_ISL_631683
MW245996.1	EPI_ISL_631679
MW245997.1	EPI_ISL_631661
MW245998.1	EPI_ISL_631648
MW245999.1	EPI_ISL_631682
MW246001.1	EPI_ISL_631656
MW246002.1	EPI_ISL_631673
MW246003.1	EPI_ISL_631684
MW246004.1	EPI_ISL_631671
MW246005.1	EPI_ISL_631674
MW246006.1	EPI_ISL_631655
MW246007.1	EPI_ISL_631666
MW246009.1	EPI_ISL_631677
MW246010.1	EPI_ISL_631678
MW246011.1	EPI_ISL_631660
MW246013.1	EPI_ISL_631647
MW246014.1	EPI_ISL_631653
MW246015.1	EPI_ISL_631669
MW246017.1	EPI_ISL_631646
MW246018.1	EPI_ISL_631665
MW246020.1	EPI_ISL_631641
MW246021.1	EPI_ISL_631667
MW246592.1	EPI_ISL_634875
MW246593.1	EPI_ISL_634874
MW246594.1	EPI_ISL_634873
MW246595.1	EPI_ISL_634872
MW246596.1	EPI_ISL_634871
MW246597.1	EPI_ISL_634870
MW246598.1	EPI_ISL_634869
MW246599.1	EPI_ISL_634868
MW246600.1	EPI_ISL_634867
MW246601.1	EPI_ISL_634866
MW246602.1	EPI_ISL_634865
MW246603.1	EPI_ISL_634864
MW246604.1	EPI_ISL_634863
MW246605.1	EPI_ISL_634862
MW246606.1	EPI_ISL_634861
MW246607.1	EPI_ISL_634860
MW246608.1	EPI_ISL_634859
MW246609.1	EPI_ISL_634858
MW246610.1	EPI_ISL_634857
MW246611.1	EPI_ISL_634856
MW246612.1	EPI_ISL_634855
MW246613.1	EPI_ISL_634854
MW246614.1	EPI_ISL_634853
MW246615.1	EPI_ISL_634852
MW246616.1	EPI_ISL_634851
MW246617.1	EPI_ISL_634850
MW246618.1	EPI_ISL_634849
MW246619.1	EPI_ISL_634848
MW246620.1	EPI_ISL_634847
MW246621.1	EPI_ISL_634846
MW246622.1	EPI_ISL_634845
MW246623.1	EPI_ISL_634844
MW246624.1	EPI_ISL_634843
MW246625.1	EPI_ISL_634842
MW246626.1	EPI_ISL_634841
MW246627.1	EPI_ISL_634840
MW246628.1	EPI_ISL_634839
MW246629.1	EPI_ISL_634838
MW252120.1	EPI_ISL_634953
MW252121.1	EPI_ISL_634947
MW252122.1	EPI_ISL_634934
MW252123.1	EPI_ISL_634943
MW252125.1	EPI_ISL_634954
MW252126.1	EPI_ISL_634972
MW252127.1	EPI_ISL_634956
MW252128.1	EPI_ISL_634948
MW252129.1	EPI_ISL_634950
MW252131.1	EPI_ISL_634964
MW252133.1	EPI_ISL_634935
MW252135.1	EPI_ISL_634958
MW252136.1	EPI_ISL_634937
MW252137.1	EPI_ISL_634962
MW252138.1	EPI_ISL_634969
MW252139.1	EPI_ISL_634955
MW252140.1	EPI_ISL_634938
MW252141.1	EPI_ISL_634966
MW252142.1	EPI_ISL_634941
MW252144.1	EPI_ISL_634971
MW252145.1	EPI_ISL_634946
MW252146.1	EPI_ISL_634967
MW252149.1	EPI_ISL_634952
MW252150.1	EPI_ISL_634970
MW252151.1	EPI_ISL_634949
MW252153.1	EPI_ISL_634944
MW252155.1	EPI_ISL_634973
MW252159.1	EPI_ISL_634951
MW255830.1	EPI_ISL_639739
MW255832.1	EPI_ISL_639740
MW261767.1	EPI_ISL_641318
MW261770.1	EPI_ISL_641319
MW263334.1	EPI_ISL_699506
MW263335.1	EPI_ISL_699507
MW263336.1	EPI_ISL_699508
MW263337.1	EPI_ISL_699509
MW264424.1	EPI_ISL_641311
MW264435.1	EPI_ISL_586254
MW265603.1	EPI_ISL_634925
MW265604.1	EPI_ISL_634917
MW265605.1	EPI_ISL_634905
MW265606.1	EPI_ISL_634929
MW265607.1	EPI_ISL_634903
MW265609.1	EPI_ISL_634914
MW265610.1	EPI_ISL_634901
MW265611.1	EPI_ISL_634913
MW265612.1	EPI_ISL_634909
MW265614.1	EPI_ISL_634902
MW265615.1	EPI_ISL_634922
MW265616.1	EPI_ISL_634907
MW265618.1	EPI_ISL_634904
MW265619.1	EPI_ISL_634932
MW265620.1	EPI_ISL_634898
MW265621.1	EPI_ISL_634931
MW265623.1	EPI_ISL_634896
MW265624.1	EPI_ISL_634915
MW265626.1	EPI_ISL_634919
MW265627.1	EPI_ISL_634933
MW265628.1	EPI_ISL_634924
MW265630.1	EPI_ISL_634900
MW265631.1	EPI_ISL_634921
MW265632.1	EPI_ISL_634906
MW265633.1	EPI_ISL_634928
MW265634.1	EPI_ISL_634908
MW265635.1	EPI_ISL_634926
MW265636.1	EPI_ISL_634916
MW265637.1	EPI_ISL_634927
MW265639.1	EPI_ISL_644665
MW265642.1	EPI_ISL_640282
MW265643.1	EPI_ISL_644666
MW265644.1	EPI_ISL_644667
MW265645.1	EPI_ISL_640283
MW265646.1	EPI_ISL_640297
MW265648.1	EPI_ISL_640284
MW265649.1	EPI_ISL_644668
MW265653.1	EPI_ISL_644669
MW265654.1	EPI_ISL_640294
MW265656.1	EPI_ISL_640279
MW265659.1	EPI_ISL_640289
MW265661.1	EPI_ISL_644670
MW268703.1	EPI_ISL_644587
MW268704.1	EPI_ISL_644588
MW268705.1	EPI_ISL_644589
MW268706.1	EPI_ISL_644590
MW268707.1	EPI_ISL_644591
MW268708.1	EPI_ISL_644592
MW268709.1	EPI_ISL_644593
MW268710.1	EPI_ISL_644594
MW268711.1	EPI_ISL_644595
MW268712.1	EPI_ISL_644596
MW268713.1	EPI_ISL_644597
MW268714.1	EPI_ISL_644586
MW268715.1	EPI_ISL_644598
MW268716.1	EPI_ISL_644599
MW268717.1	EPI_ISL_644600
MW268718.1	EPI_ISL_644601
MW268719.1	EPI_ISL_644585
MW268720.1	EPI_ISL_644602
MW268721.1	EPI_ISL_644603
MW268722.1	EPI_ISL_644604
MW268723.1	EPI_ISL_644605
MW268724.1	EPI_ISL_644606
MW268725.1	EPI_ISL_644607
MW268726.1	EPI_ISL_644608
MW268727.1	EPI_ISL_644609
MW269882.1	EPI_ISL_632823
MW269883.1	EPI_ISL_632824
MW269884.1	EPI_ISL_632825
MW269885.1	EPI_ISL_632826
MW269886.1	EPI_ISL_632827
MW269887.1	EPI_ISL_632828
MW269888.1	EPI_ISL_632829
MW269889.1	EPI_ISL_632830
MW269890.1	EPI_ISL_632831
MW269891.1	EPI_ISL_632832
MW269892.1	EPI_ISL_632833
MW269893.1	EPI_ISL_632834
MW269894.1	EPI_ISL_632835
MW269895.1	EPI_ISL_632836
MW269896.1	EPI_ISL_632837
MW269897.1	EPI_ISL_632838
MW269898.1	EPI_ISL_632839
MW269899.1	EPI_ISL_632840
MW269900.1	EPI_ISL_632841
MW269901.1	EPI_ISL_632842
MW269902.1	EPI_ISL_632843
MW269903.1	EPI_ISL_632844
MW269904.1	EPI_ISL_632845
MW269905.1	EPI_ISL_644183
MW269906.1	EPI_ISL_644167
MW269907.1	EPI_ISL_644200
MW269908.1	EPI_ISL_644166
MW269909.1	EPI_ISL_644180
MW269910.1	EPI_ISL_644171
MW269911.1	EPI_ISL_644205
MW269912.1	EPI_ISL_644164
MW269913.1	EPI_ISL_644168
MW269914.1	EPI_ISL_644192
MW269916.1	EPI_ISL_644203
MW269918.1	EPI_ISL_644206
MW269919.1	EPI_ISL_644182
MW269920.1	EPI_ISL_644186
MW269921.1	EPI_ISL_644202
MW269922.1	EPI_ISL_644170
MW269923.1	EPI_ISL_644179
MW269924.1	EPI_ISL_644195
MW269926.1	EPI_ISL_644169
MW269927.1	EPI_ISL_644191
MW269928.1	EPI_ISL_644207
MW269929.1	EPI_ISL_644204
MW269930.1	EPI_ISL_644188
MW269931.1	EPI_ISL_644174
MW269933.1	EPI_ISL_644196
MW269934.1	EPI_ISL_644201
MW269935.1	EPI_ISL_644190
MW269936.1	EPI_ISL_644165
MW269937.1	EPI_ISL_644198
MW269938.1	EPI_ISL_644163
MW269940.1	EPI_ISL_644193
MW269941.1	EPI_ISL_644189
MW269943.1	EPI_ISL_644197
MW269945.1	EPI_ISL_644181
MW269946.1	EPI_ISL_644208
MW269948.1	EPI_ISL_644178
MW269949.1	EPI_ISL_644184
MW273783.1	EPI_ISL_645000
MW273784.1	EPI_ISL_645001
MW273785.1	EPI_ISL_645002
MW273786.1	EPI_ISL_645003
MW273787.1	EPI_ISL_645004
MW273788.1	EPI_ISL_645005
MW273789.1	EPI_ISL_645006
MW273790.1	EPI_ISL_645007
MW273791.1	EPI_ISL_645008
MW273792.1	EPI_ISL_645009
MW273793.1	EPI_ISL_645010
MW273794.1	EPI_ISL_645011
MW273795.1	EPI_ISL_645012
MW273796.1	EPI_ISL_645013
MW273797.1	EPI_ISL_645014
MW273798.1	EPI_ISL_645015
MW273799.1	EPI_ISL_645016
MW273800.1	EPI_ISL_645017
MW273801.1	EPI_ISL_645018
MW273802.1	EPI_ISL_645019
MW273803.1	EPI_ISL_645020
MW273804.1	EPI_ISL_645021
MW273805.1	EPI_ISL_645022
MW273806.1	EPI_ISL_645023
MW273807.1	EPI_ISL_645024
MW273808.1	EPI_ISL_645025
MW273809.1	EPI_ISL_645026
MW273810.1	EPI_ISL_645027
MW273811.1	EPI_ISL_645028
MW273812.1	EPI_ISL_645029
MW273813.1	EPI_ISL_645030
MW273814.1	EPI_ISL_645031
MW273815.1	EPI_ISL_645032
MW273816.1	EPI_ISL_645033
MW273817.1	EPI_ISL_645034
MW273818.1	EPI_ISL_645035
MW273819.1	EPI_ISL_645036
MW273820.1	EPI_ISL_645037
MW273821.1	EPI_ISL_645038
MW273822.1	EPI_ISL_645039
MW273823.1	EPI_ISL_645040
MW273824.1	EPI_ISL_645041
MW273825.1	EPI_ISL_645042
MW273826.1	EPI_ISL_645043
MW273827.1	EPI_ISL_645044
MW273828.1	EPI_ISL_645045
MW273829.1	EPI_ISL_645046
MW273830.1	EPI_ISL_645047
MW273831.1	EPI_ISL_645048
MW273832.1	EPI_ISL_645049
MW273833.1	EPI_ISL_645050
MW273834.1	EPI_ISL_645051
MW273835.1	EPI_ISL_645052
MW273836.1	EPI_ISL_645053
MW273837.1	EPI_ISL_645054
MW273838.1	EPI_ISL_645055
MW273839.1	EPI_ISL_645056
MW273840.1	EPI_ISL_645057
MW273841.1	EPI_ISL_645058
MW273842.1	EPI_ISL_645059
MW273843.1	EPI_ISL_645060
MW273844.1	EPI_ISL_645061
MW273845.1	EPI_ISL_645062
MW273846.1	EPI_ISL_645063
MW273847.1	EPI_ISL_645064
MW273848.1	EPI_ISL_645065
MW273849.1	EPI_ISL_645066
MW273850.1	EPI_ISL_645067
MW273851.1	EPI_ISL_645068
MW273852.1	EPI_ISL_645069
MW273853.1	EPI_ISL_645070
MW273854.1	EPI_ISL_645071
MW273855.1	EPI_ISL_645072
MW273856.1	EPI_ISL_645073
MW273857.1	EPI_ISL_645074
MW273858.1	EPI_ISL_645075
MW273859.1	EPI_ISL_645076
MW273860.1	EPI_ISL_645077
MW273861.1	EPI_ISL_645078
MW273862.1	EPI_ISL_645079
MW273863.1	EPI_ISL_645080
MW273864.1	EPI_ISL_645081
MW273865.1	EPI_ISL_645082
MW273866.1	EPI_ISL_645083
MW273867.1	EPI_ISL_645084
MW273868.1	EPI_ISL_645085
MW273869.1	EPI_ISL_645086
MW273870.1	EPI_ISL_645087
MW273871.1	EPI_ISL_645088
MW273872.1	EPI_ISL_645089
MW273873.1	EPI_ISL_645090
MW273874.1	EPI_ISL_645091
MW273875.1	EPI_ISL_645092
MW273876.1	EPI_ISL_645093
MW273877.1	EPI_ISL_645094
MW273878.1	EPI_ISL_645095
MW273879.1	EPI_ISL_645096
MW273880.1	EPI_ISL_645097
MW273881.1	EPI_ISL_645098
MW273882.1	EPI_ISL_645099
MW273883.1	EPI_ISL_645100
MW273884.1	EPI_ISL_645101
MW273885.1	EPI_ISL_645102
MW273886.1	EPI_ISL_645103
MW273887.1	EPI_ISL_645104
MW273888.1	EPI_ISL_645105
MW273889.1	EPI_ISL_645106
MW273890.1	EPI_ISL_645107
MW273891.1	EPI_ISL_645108
MW273892.1	EPI_ISL_645109
MW276155.1	EPI_ISL_582851
MW276157.1	EPI_ISL_582853
MW276158.1	EPI_ISL_582854
MW276160.1	EPI_ISL_582856
MW276161.1	EPI_ISL_582857
MW276162.1	EPI_ISL_582858
MW276163.1	EPI_ISL_582859
MW276164.1	EPI_ISL_582860
MW276165.1	EPI_ISL_582861
MW276167.1	EPI_ISL_582863
MW276168.1	EPI_ISL_582864
MW276169.1	EPI_ISL_582865
MW276170.1	EPI_ISL_582866
MW276171.1	EPI_ISL_582867
MW276172.1	EPI_ISL_582868
MW276173.1	EPI_ISL_582870
MW276174.1	EPI_ISL_582871
MW276176.1	EPI_ISL_582873
MW276177.1	EPI_ISL_582874
MW276178.1	EPI_ISL_582875
MW276179.1	EPI_ISL_582877
MW276180.1	EPI_ISL_582878
MW276183.1	EPI_ISL_582881
MW276185.1	EPI_ISL_649152
MW276186.1	EPI_ISL_582884
MW276187.1	EPI_ISL_582885
MW276188.1	EPI_ISL_582886
MW276189.1	EPI_ISL_582887
MW276190.1	EPI_ISL_582888
MW276191.1	EPI_ISL_582889
MW276193.1	EPI_ISL_582894
MW276194.1	EPI_ISL_582895
MW276195.1	EPI_ISL_582896
MW276196.1	EPI_ISL_582897
MW276197.1	EPI_ISL_582899
MW276198.1	EPI_ISL_582900
MW276203.1	EPI_ISL_582905
MW276204.1	EPI_ISL_582907
MW276205.1	EPI_ISL_582908
MW276206.1	EPI_ISL_582910
MW276207.1	EPI_ISL_582912
MW276208.1	EPI_ISL_582913
MW276209.1	EPI_ISL_582914
MW276211.1	EPI_ISL_582916
MW276212.1	EPI_ISL_582917
MW276213.1	EPI_ISL_582919
MW276214.1	EPI_ISL_582920
MW276216.1	EPI_ISL_582922
MW276220.1	EPI_ISL_582927
MW276221.1	EPI_ISL_582928
MW276222.1	EPI_ISL_582929
MW276223.1	EPI_ISL_582930
MW276224.1	EPI_ISL_582931
MW276225.1	EPI_ISL_582934
MW276227.1	EPI_ISL_582937
MW276228.1	EPI_ISL_582938
MW276229.1	EPI_ISL_582939
MW276230.1	EPI_ISL_582940
MW276231.1	EPI_ISL_582941
MW276232.1	EPI_ISL_582942
MW276233.1	EPI_ISL_582943
MW276234.1	EPI_ISL_582944
MW276235.1	EPI_ISL_582945
MW276236.1	EPI_ISL_582946
MW276238.1	EPI_ISL_582948
MW276239.1	EPI_ISL_582949
MW276240.1	EPI_ISL_582950
MW276241.1	EPI_ISL_582951
MW276242.1	EPI_ISL_582952
MW276243.1	EPI_ISL_582953
MW276244.1	EPI_ISL_582954
MW276245.1	EPI_ISL_582955
MW276246.1	EPI_ISL_582956
MW276247.1	EPI_ISL_582957
MW276248.1	EPI_ISL_582958
MW276249.1	EPI_ISL_582959
MW276250.1	EPI_ISL_582960
MW276251.1	EPI_ISL_582961
MW276252.1	EPI_ISL_582962
MW276253.1	EPI_ISL_582963
MW276254.1	EPI_ISL_582964
MW276255.1	EPI_ISL_582965
MW276256.1	EPI_ISL_582966
MW276257.1	EPI_ISL_582968
MW276258.1	EPI_ISL_582969
MW276259.1	EPI_ISL_582970
MW276260.1	EPI_ISL_582971
MW276261.1	EPI_ISL_582972
MW276262.1	EPI_ISL_582973
MW276263.1	EPI_ISL_582974
MW276265.1	EPI_ISL_582976
MW276266.1	EPI_ISL_582977
MW276267.1	EPI_ISL_582978
MW276270.1	EPI_ISL_582981
MW276271.1	EPI_ISL_582982
MW276272.1	EPI_ISL_582983
MW276273.1	EPI_ISL_582984
MW276274.1	EPI_ISL_582985
MW276275.1	EPI_ISL_582986
MW276276.1	EPI_ISL_582987
MW276277.1	EPI_ISL_582988
MW276278.1	EPI_ISL_582989
MW276279.1	EPI_ISL_582990
MW276280.1	EPI_ISL_582991
MW276281.1	EPI_ISL_582992
MW276282.1	EPI_ISL_582993
MW276283.1	EPI_ISL_582995
MW276284.1	EPI_ISL_582996
MW276285.1	EPI_ISL_582999
MW276286.1	EPI_ISL_583000
MW276287.1	EPI_ISL_583001
MW276288.1	EPI_ISL_583002
MW276289.1	EPI_ISL_583003
MW276291.1	EPI_ISL_583006
MW276292.1	EPI_ISL_583007
MW276293.1	EPI_ISL_583008
MW276294.1	EPI_ISL_583011
MW276295.1	EPI_ISL_583012
MW276296.1	EPI_ISL_583013
MW276297.1	EPI_ISL_583014
MW276298.1	EPI_ISL_583015
MW276299.1	EPI_ISL_583016
MW276300.1	EPI_ISL_583017
MW276301.1	EPI_ISL_583018
MW276302.1	EPI_ISL_583019
MW276303.1	EPI_ISL_583020
MW276304.1	EPI_ISL_583021
MW276305.1	EPI_ISL_583022
MW276306.1	EPI_ISL_583023
MW276307.1	EPI_ISL_583024
MW276308.1	EPI_ISL_583025
MW276310.1	EPI_ISL_583028
MW276311.1	EPI_ISL_583029
MW276312.1	EPI_ISL_583032
MW276313.1	EPI_ISL_583033
MW276314.1	EPI_ISL_583035
MW276315.1	EPI_ISL_583038
MW276316.1	EPI_ISL_583039
MW276317.1	EPI_ISL_583040
MW276318.1	EPI_ISL_583041
MW276319.1	EPI_ISL_583042
MW276320.1	EPI_ISL_583043
MW276321.1	EPI_ISL_583044
MW276322.1	EPI_ISL_583045
MW276323.1	EPI_ISL_583046
MW276324.1	EPI_ISL_583047
MW276325.1	EPI_ISL_583048
MW276326.1	EPI_ISL_583049
MW276327.1	EPI_ISL_583050
MW276328.1	EPI_ISL_583051
MW276329.1	EPI_ISL_583052
MW276330.1	EPI_ISL_583053
MW276331.1	EPI_ISL_583054
MW276332.1	EPI_ISL_583055
MW276333.1	EPI_ISL_583056
MW276334.1	EPI_ISL_583057
MW276335.1	EPI_ISL_583058
MW276336.1	EPI_ISL_583059
MW276337.1	EPI_ISL_583060
MW276338.1	EPI_ISL_583061
MW276339.1	EPI_ISL_583062
MW276340.1	EPI_ISL_583063
MW276341.1	EPI_ISL_583064
MW276343.1	EPI_ISL_583066
MW276344.1	EPI_ISL_583067
MW276345.1	EPI_ISL_583068
MW276346.1	EPI_ISL_583069
MW276347.1	EPI_ISL_583070
MW276348.1	EPI_ISL_583071
MW276349.1	EPI_ISL_583072
MW276350.1	EPI_ISL_583073
MW276351.1	EPI_ISL_583074
MW276352.1	EPI_ISL_583075
MW276353.1	EPI_ISL_583076
MW276354.1	EPI_ISL_583077
MW276355.1	EPI_ISL_583078
MW276356.1	EPI_ISL_583079
MW276357.1	EPI_ISL_583080
MW276358.1	EPI_ISL_583081
MW276359.1	EPI_ISL_583082
MW276360.1	EPI_ISL_583083
MW276361.1	EPI_ISL_583084
MW276362.1	EPI_ISL_583085
MW276363.1	EPI_ISL_583086
MW276364.1	EPI_ISL_583087
MW276365.1	EPI_ISL_583088
MW276366.1	EPI_ISL_583089
MW276367.1	EPI_ISL_583091
MW276368.1	EPI_ISL_583092
MW276369.1	EPI_ISL_583093
MW276370.1	EPI_ISL_583094
MW276371.1	EPI_ISL_583095
MW276372.1	EPI_ISL_583096
MW276373.1	EPI_ISL_583097
MW276374.1	EPI_ISL_583098
MW276375.1	EPI_ISL_583099
MW276376.1	EPI_ISL_583100
MW276377.1	EPI_ISL_583102
MW276378.1	EPI_ISL_583103
MW276379.1	EPI_ISL_583104
MW276380.1	EPI_ISL_583105
MW276381.1	EPI_ISL_583106
MW276382.1	EPI_ISL_583107
MW276384.1	EPI_ISL_583109
MW276385.1	EPI_ISL_583110
MW276386.1	EPI_ISL_583111
MW276387.1	EPI_ISL_583112
MW276388.1	EPI_ISL_583113
MW276389.1	EPI_ISL_583114
MW276390.1	EPI_ISL_583115
MW276391.1	EPI_ISL_583116
MW276392.1	EPI_ISL_583117
MW276393.1	EPI_ISL_583118
MW276394.1	EPI_ISL_583119
MW276395.1	EPI_ISL_583120
MW276396.1	EPI_ISL_583121
MW276397.1	EPI_ISL_583122
MW276398.1	EPI_ISL_583123
MW276399.1	EPI_ISL_583124
MW276400.1	EPI_ISL_583125
MW276401.1	EPI_ISL_583126
MW276402.1	EPI_ISL_583127
MW276403.1	EPI_ISL_583128
MW276404.1	EPI_ISL_583129
MW276405.1	EPI_ISL_583130
MW276406.1	EPI_ISL_583131
MW276407.1	EPI_ISL_583132
MW276408.1	EPI_ISL_583133
MW276409.1	EPI_ISL_583134
MW276410.1	EPI_ISL_583135
MW276411.1	EPI_ISL_583136
MW276412.1	EPI_ISL_583137
MW276413.1	EPI_ISL_583138
MW276414.1	EPI_ISL_583139
MW276415.1	EPI_ISL_583140
MW276416.1	EPI_ISL_583141
MW276417.1	EPI_ISL_583142
MW276418.1	EPI_ISL_583143
MW276419.1	EPI_ISL_583144
MW276420.1	EPI_ISL_583145
MW276421.1	EPI_ISL_583146
MW276422.1	EPI_ISL_583147
MW276423.1	EPI_ISL_583148
MW276424.1	EPI_ISL_583149
MW276425.1	EPI_ISL_583150
MW276427.1	EPI_ISL_583152
MW276428.1	EPI_ISL_583153
MW276429.1	EPI_ISL_583154
MW276430.1	EPI_ISL_583155
MW276431.1	EPI_ISL_583156
MW276432.1	EPI_ISL_583157
MW276433.1	EPI_ISL_583158
MW276434.1	EPI_ISL_583159
MW276435.1	EPI_ISL_583160
MW276436.1	EPI_ISL_583161
MW276437.1	EPI_ISL_583162
MW276438.1	EPI_ISL_583163
MW276439.1	EPI_ISL_583164
MW276440.1	EPI_ISL_583165
MW276441.1	EPI_ISL_583166
MW276442.1	EPI_ISL_583167
MW276443.1	EPI_ISL_583168
MW276444.1	EPI_ISL_583169
MW276445.1	EPI_ISL_583170
MW276446.1	EPI_ISL_583171
MW276447.1	EPI_ISL_583172
MW276448.1	EPI_ISL_583173
MW276449.1	EPI_ISL_583175
MW276450.1	EPI_ISL_583176
MW276451.1	EPI_ISL_583177
MW276452.1	EPI_ISL_583178
MW276453.1	EPI_ISL_583179
MW276454.1	EPI_ISL_583180
MW276455.1	EPI_ISL_583182
MW276457.1	EPI_ISL_583184
MW276458.1	EPI_ISL_583185
MW276459.1	EPI_ISL_583186
MW276460.1	EPI_ISL_583187
MW276461.1	EPI_ISL_583188
MW276462.1	EPI_ISL_583189
MW276463.1	EPI_ISL_583190
MW276464.1	EPI_ISL_583191
MW276465.1	EPI_ISL_583192
MW276466.1	EPI_ISL_583193
MW276467.1	EPI_ISL_583194
MW276468.1	EPI_ISL_583195
MW276469.1	EPI_ISL_583196
MW276470.1	EPI_ISL_583197
MW276471.1	EPI_ISL_583198
MW276472.1	EPI_ISL_583199
MW276473.1	EPI_ISL_583200
MW276475.1	EPI_ISL_583202
MW276476.1	EPI_ISL_583203
MW276477.1	EPI_ISL_583204
MW276478.1	EPI_ISL_583205
MW276479.1	EPI_ISL_583207
MW276480.1	EPI_ISL_583208
MW276481.1	EPI_ISL_583209
MW276482.1	EPI_ISL_583210
MW276483.1	EPI_ISL_583211
MW276485.1	EPI_ISL_583213
MW276486.1	EPI_ISL_583214
MW276487.1	EPI_ISL_583215
MW276488.1	EPI_ISL_583216
MW276489.1	EPI_ISL_583217
MW276490.1	EPI_ISL_583218
MW276491.1	EPI_ISL_583219
MW276492.1	EPI_ISL_583220
MW276493.1	EPI_ISL_583221
MW276494.1	EPI_ISL_583222
MW276496.1	EPI_ISL_583224
MW276497.1	EPI_ISL_583225
MW276499.1	EPI_ISL_583227
MW276500.1	EPI_ISL_583228
MW276501.1	EPI_ISL_583229
MW276502.1	EPI_ISL_583230
MW276503.1	EPI_ISL_583231
MW276504.1	EPI_ISL_625596
MW276505.1	EPI_ISL_625597
MW276506.1	EPI_ISL_625598
MW276507.1	EPI_ISL_625599
MW276508.1	EPI_ISL_625595
MW276509.1	EPI_ISL_625594
MW276510.1	EPI_ISL_625521
MW276511.1	EPI_ISL_625506
MW276512.1	EPI_ISL_625507
MW276513.1	EPI_ISL_625508
MW276514.1	EPI_ISL_625511
MW276515.1	EPI_ISL_625509
MW276516.1	EPI_ISL_625510
MW276517.1	EPI_ISL_625512
MW276518.1	EPI_ISL_625513
MW276519.1	EPI_ISL_625514
MW276520.1	EPI_ISL_625515
MW276521.1	EPI_ISL_625516
MW276522.1	EPI_ISL_625517
MW276523.1	EPI_ISL_625518
MW276524.1	EPI_ISL_625519
MW276525.1	EPI_ISL_625520
MW276526.1	EPI_ISL_625500
MW276527.1	EPI_ISL_625501
MW276528.1	EPI_ISL_625502
MW276529.1	EPI_ISL_625503
MW276530.1	EPI_ISL_625504
MW276531.1	EPI_ISL_625505
MW276532.1	EPI_ISL_625625
MW276533.1	EPI_ISL_625626
MW276534.1	EPI_ISL_625624
MW276535.1	EPI_ISL_625547
MW276536.1	EPI_ISL_625548
MW276537.1	EPI_ISL_625549
MW276538.1	EPI_ISL_625551
MW276539.1	EPI_ISL_625552
MW276540.1	EPI_ISL_625553
MW276541.1	EPI_ISL_625554
MW276542.1	EPI_ISL_625555
MW276543.1	EPI_ISL_625556
MW276544.1	EPI_ISL_625557
MW276546.1	EPI_ISL_625573
MW276547.1	EPI_ISL_625574
MW276548.1	EPI_ISL_625575
MW276549.1	EPI_ISL_625576
MW276550.1	EPI_ISL_625578
MW276551.1	EPI_ISL_625623
MW276552.1	EPI_ISL_625559
MW276553.1	EPI_ISL_625560
MW276554.1	EPI_ISL_625561
MW276555.1	EPI_ISL_625562
MW276557.1	EPI_ISL_625567
MW276558.1	EPI_ISL_625568
MW276559.1	EPI_ISL_625569
MW276560.1	EPI_ISL_625570
MW276561.1	EPI_ISL_625571
MW276562.1	EPI_ISL_625572
MW276563.1	EPI_ISL_625579
MW276564.1	EPI_ISL_625580
MW276565.1	EPI_ISL_625581
MW276566.1	EPI_ISL_625582
MW276567.1	EPI_ISL_625583
MW276568.1	EPI_ISL_625584
MW276569.1	EPI_ISL_625585
MW276570.1	EPI_ISL_625586
MW276571.1	EPI_ISL_625587
MW276573.1	EPI_ISL_625589
MW276574.1	EPI_ISL_625590
MW276575.1	EPI_ISL_625592
MW276576.1	EPI_ISL_625593
MW276577.1	EPI_ISL_625489
MW276578.1	EPI_ISL_625622
MW276579.1	EPI_ISL_625669
MW276581.1	EPI_ISL_625523
MW276582.1	EPI_ISL_625524
MW276583.1	EPI_ISL_625525
MW276584.1	EPI_ISL_625526
MW276585.1	EPI_ISL_625527
MW276586.1	EPI_ISL_625528
MW276587.1	EPI_ISL_625529
MW276588.1	EPI_ISL_625530
MW276589.1	EPI_ISL_625531
MW276590.1	EPI_ISL_625532
MW276591.1	EPI_ISL_625533
MW276592.1	EPI_ISL_625534
MW276593.1	EPI_ISL_625535
MW276594.1	EPI_ISL_625536
MW276595.1	EPI_ISL_625537
MW276596.1	EPI_ISL_625538
MW276597.1	EPI_ISL_625540
MW276598.1	EPI_ISL_625541
MW276599.1	EPI_ISL_625542
MW276601.1	EPI_ISL_625539
MW276602.1	EPI_ISL_625544
MW276603.1	EPI_ISL_625545
MW276604.1	EPI_ISL_625621
MW276605.1	EPI_ISL_625543
MW276607.1	EPI_ISL_625627
MW276608.1	EPI_ISL_625629
MW276609.1	EPI_ISL_625630
MW276610.1	EPI_ISL_625670
MW276611.1	EPI_ISL_625631
MW276612.1	EPI_ISL_625636
MW276613.1	EPI_ISL_625667
MW276614.1	EPI_ISL_625479
MW276615.1	EPI_ISL_625480
MW276616.1	EPI_ISL_625482
MW276617.1	EPI_ISL_625486
MW276618.1	EPI_ISL_625487
MW276619.1	EPI_ISL_625639
MW276620.1	EPI_ISL_625640
